X,Y,OBJECTID,PROPERTY_ID,UGLG_KEY,HUB_NAME_TEXT,SERVICING_SITE_NAME_TEXT,PROJECT_MANAGER_NAME_TEXT,PROPERTY_NAME_TEXT,ADDRESS_LINE1_TEXT,ADDRESS_LINE2_TEXT,AUTOMATIC_GEOCODE_IND,CONGRESSIONAL_DISTRICT_CODE,PLACED_BASE_CITY_NAME_TEXT,TOTAL_ASSISTED_UNIT_COUNT,TOTAL_UNIT_COUNT,PROPERTY_ON_SITE_PHONE_NUMBER,PROPERTY_CATEGORY_NAME,CLIENT_GROUP_CODE,CLIENT_GROUP_NAME,CLIENT_GROUP_TYPE,REAC_LAST_INSPECTION_ID,REAC_LAST_INSPECTION_SCORE,FASS_LAST_PERFORMANCE_VALUE,FASS_LST_TOT_MGMT_COND_CNT,FASS_LAST_REFERRED_TO_CODE,IS_AFS_REQUIRED_IND,AFS_FISCAL_YR_END_DATE,HAS_ACTIVE_FINANCING_IND,PRIMARY_FINANCING_TYPE,IS_ALL_FINANCING_PIPELINE_IND,IS_ALL_CONTRACT_PIPELINE_IND,IS_UNDER_MANAGEMENT_IND,HAS_SERVICE_AGREEMENT_IND,HAS_USE_RESTRICTION_IND,HAS_ACTIVE_IRP_IND,IS_SERVICE_COORDINATOR_IND,PRIMARY_FHA_NUMBER,ASSOCIATED_FHA_NUMBER,ASSOCIATED_CONTRACT_NUMBER,IS_ACTIVE_DEC_CASE_IND,WAS_EVER_DEC_CASE_IND,IS_INSURED_IND,WAS_EVER_INSURED_IND,IS_202_811_IND,WAS_EVER_202_811_IND,IS_HUD_HELD_IND,IS_HUD_OWNED_IND,IS_FLEXIBLE_SUBSIDY_IND,IS_HOSPITAL_IND,IS_NURSING_HOME_IND,IS_BOARD_AND_CARE_IND,IS_ASSISTED_LIVING_IND,IS_REFINANCED_IND,IS_221D3_IND,IS_221D4_IND,IS_236_IND,IS_IN_DEFAULT_DELINQUENT_IND,IS_NON_INSURED_IND,IS_BMIR_IND,IS_RISK_SHARING_IND,IS_MIP_IND,IS_CO_INSURED_IND,IS_SUBSIDIZED_IND,WAS_EVER_SUBSIDIZED_IND,HAS_ACTIVE_ASSISTANCE_IND,WAS_EVER_ASSISTED_IND,IS_ACC_OLD_IND,IS_ACC_PERFORMANCE_BASED_IND,IS_SEC8_IND,IS_PAC_IND,IS_PRAC_IND,IS_RENT_SUPPLEMENT_IND,IS_SECTION_236_RAP_IND,IS_SEC8_202_IND,IS_SEC8_FMHA_515_IND,IS_SEC8_STATE_AGENCY_HFA_IND,IS_SEC8_LMSA_IND,IS_SEC8_PRPRTY_DISPOSITION_IND,IS_SEC8_PRESERVATION_IND,IS_SEC8_OTHR_NW_CNSTRCTION_IND,IS_SEC8_OTHER_SUB_REHAB_IND,IS_PENSION_FUND_IND,IS_PAC_202_IND,IS_PAC_811_IND,IS_PRAC_202_IND,IS_PRAC_811_IND,HAS_FULL_DEBT_RESTRUCTURE_IND,LAST_CRITICAL_DATE_DESC,OAHP_PROJECT_RECOMMENDATION_TX,OAHP_PROCESSING_TYPE,IS_ON_WATCH_LIST_IND,IS_GREEN_RETROFIT_IND,IS_202_DIRECT_LOAN_IND,IS_202_CAPITAL_ADVANCE_IND,IS_811_CAPITAL_ADVANCE_IND,ENERGY_PERFORMANCE_CONTRCT_IND,IS_SEC8_RAD_DEMO_CONV_IND,FINANCIAL_STMNT_REQ_IND,IS_811_PRA_DEMO_IND,CONTRACT1,CONTRACT2,CONTRACT_COUNT,UNITS1,UNITS2,MAXIMUM_CONTRACT_UNIT_COUNT,PROGRAM_TYPE1,PROGRAM_TYPE2,EXPIRATION_DATE1,EXPIRATION_DATE2,RENT_TO_FMR_RATIO1,RENT_TO_FMR_RATIO2,BD0_CNT1,BD0_CNT2,BD1_CNT1,BD1_CNT2,BD2_CNT1,BD2_CNT2,BD3_CNT1,BD3_CNT2,BD4_CNT1,BD4_CNT2,BD5_CNT1,BD5_CNT2,FHA_NUM1,FHA_NUM2,SOACODE1,SOACODE2,SOA_NAME1,SOA_NAME2,TAXCREDIT1,TAXCREDIT2,FHA_COUNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,DPVACT,DPVNOST,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,MTR_LATEST_DSCR,MGMT_AGENT_ORG_NAME,MGMT_CONTACT_FULL_NAME,MGMT_CONTACT_INDV_TITLE_TEXT,MGMT_CONTACT_ADDRESS_LINE1,MGMT_CONTACT_ADDRESS_LINE2,MGMT_CONTACT_CITY_NAME,MGMT_CONTACT_STATE_CODE,MGMT_CONTACT_ZIP_CODE,MGMT_CONTACT_MAIN_PHN_NBR,MGMT_CONTACT_EMAIL_TEXT,LOAN_MATURITY_DATE,DEMO_RESTRUCTURE_CLOSING_DATE,REAC_LAST_INSPCT_RELEASE_DATE,MARK_TO_MARKET_RESTRUCTURE_DT,REAC_LAST_INSPECTION_DATE,FASS_LAST_AFS_CLOSED_DATE,FASS_LAST_REPORTING_END_DT,FULL_DEBT_RESTRUCTURE_DATE,LAST_CRITICAL_DATE,NGHBRHD_NTWRK_EST_DATE,OCCUPANCY_DATE,WATCH_LIST_DATE,ORIGINAL_LOAN_AMOUNT,UNIT_MRKT_RENT_CNT,INITIAL_ENDORSEMENT_DATE,TOTAL_AVBL_UNITS,PCT_OCCUPIED,NUMBER_REPORTED,PCT_REPORTED,MONTHS_SINCE_REPORT,PCT_MOVEIN,PEOPLE_PER_UNIT,PEOPLE_TOTAL,RENT_PER_MONTH,SPENDING_PER_MONTH,HH_INCOME,PERSON_INCOME,PCT_LT5K,PCT_5K_LT10K,PCT_10K_LT15K,PCT_15K_LT20K,PCT_GE20K,PCT_WAGE_MAJOR,PCT_WELFARE_MAJOR,PCT_OTHER_MAJOR,PCT_MEDIAN,PCT_LT50_MEDIAN,PCT_LT30_MEDIAN,PCT_2ADULTS,PCT_1ADULT,PCT_FEMALE_HEAD,PCT_FEMALE_HEAD_CHILD,PCT_DISABLED_LT62,PCT_DISABLED_GE62,PCT_DISABLED_ALL,PCT_LT24_HEAD,PCT_AGE25_50,PCT_AGE51_61,PCT_AGE62PLUS,PCT_AGE85PLUS,PCT_MINORITY,PCT_BLACK,PCT_NATIVE_AMERICAN,PCT_ASIAN,PCT_HISPANIC,MONTHS_WAITING,MONTHS_FROM_MOVEIN,PCT_UTILITY_ALLOW,AVE_UTIL_ALLOW,PCT_BED1,PCT_BED2,PCT_BED3,PCT_OVERHOUSED,TMINORITY,TPOVERTY,TPCT_OWNSFD,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR
-84.55729600021462,43.002478999109954,34700,800242999,2670940,Detroit,Detroit,SHELLY R CEASE,CASTLE ST. JOHN APARTMENTS,207 Spring Street,,Y,04,Saint Johns,0,0,,Insured-Unsubsidized,,,,0,,,0,,N,12/31,Y,Insured,Y,N,N,N,N,N,N,04735266,04735266,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,N,N,,,0,0,0,0,S 221(d)(4),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04735266,,OMI,,221d4 NC/SR,,Y,,1,26,Clinton,037,010801,2,2031,Clinton,037,70940,Saint Johns,70940,St. Johns city,C5,,4040,"Lansing-East Lansing, MI MSA",29620,"Lansing-East Lansing, MI Metropolitan Statistical Area",99999,,1,0,2604,5388,N,,,,207 Spring St,,Saint Johns,MI,48879,1533,,48879,07,5,48879153307,S,,,,0,,,,,100% Overall probable correctness,43.002479,-84.557296,S,,R,U,** Street-Level Rooftop **,26037,2670940,26037010801,260370108012,0,"KMG Prestige, Inc.",,,,,,,,,,2058-01-01T00:00:00.000Z,,,,,,,,,,,,1619700,0,2016-10-19T00:00:00.000Z,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
-86.202473999996371,43.077629999183351,34701,800243000,2675820,Detroit,Detroit,SHELLY R CEASE,MILL POINT PLACE APARTMENTS,400 Liberty Street,,Y,02,Spring Lake,0,0,,Insured-Unsubsidized,,,,0,,,0,,N,12/31,Y,Insured,Y,N,N,N,N,N,N,04735267,04735267,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,N,N,,,0,0,0,0,S 221(d)(4),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04735267,,OMI,,221d4 NC/SR,,Y,,1,26,Ottawa,139,021100,2,2013,Ottawa,139,75840,Spring Lake,75820,Spring Lake village,C1,,3000,"Grand Rapids-Muskegon-Holland, MI MSA",24340,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",99999,,1,0,2602,5736,,,,,400 Liberty St,,Spring Lake,MI,49456,,,49456,,,,,,,,0,,,,V,100% Overall probable correctness,43.07763,-86.202474,S,,R,U,** Street-Level Rooftop **,26139,2675820,26139021100,261390211002,0,"KMG Prestige, Inc.",Sherri Weise,Regional Manager,,,,MI,,989-772-3261 x 437,sweise@kmgprestige.com,2058-01-01T00:00:00.000Z,,,,,,,,,,,,1714600,0,2016-10-19T00:00:00.000Z,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
-83.631450999796883,42.256474999310925,34724,800234456,2616189160,Detroit,Detroit,ZENA M FARAH,RIVERRAIN APARTMENTS,1130 Huron River Drive,,Y,12,Ypsilanti,0,120,734-487-9511,Insured-Unsubsidized,,,,583446,89  b*,96 - Green*,0,None,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,04411209,04411209,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04411209,,HRI,,223(f) Refi/ Purchase Apts,,N,,1,26,Washtenaw,161,411200,1,1006,Washtenaw,161,89160,Ypsilanti,99999,Ypsilanti charter township,99,,0440,"Ann Arbor, MI PMSA",11460,"Ann Arbor, MI Metropolitan Statistical Area",99999,,1,0,2612,,Y,,,,1130 N Huron River Dr,,Ypsilanti,MI,48197,2350,,48197,30,8,48197235030,S,,,,1,N,,,,90% Overall probable correctness,42.256475,-83.631451,S,,R,U,** Street-Level Rooftop **,26161,2699999,26161411200,261614112001,1.789,Prime Student Housing Inc,David Byker,Owner,2905 Wilson Ave.,Suite 200,Grandville,MI,49418,734-761-8000,jim@primesh.com,2046-08-01T00:00:00.000Z,,2016-11-18T00:00:00.000Z,,2016-11-07T00:00:00.000Z,2017-03-26T00:00:00.000Z,2016-12-31T00:00:00.000Z,,,,,,4000000,120,2011-07-12T00:00:00.000Z,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
-85.654867999774851,42.283711999219058,34728,800237737,2607761400,Detroit,Detroit,PAMELA M WILDFONG,CANTERBURY HOUSE APARTMENTS KALAMAZOO,690 Dragonfly Road,,Y,06,,0,192,,Insured-Unsubsidized,,,,541341,91  c,81 - Green,2,None,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,04711131,04711131,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04711131,,HRI,,223(f) Refi/ Purchase Apts,,Y,,1,26,Kalamazoo,077,002903,2,2014,Kalamazoo,077,61400,Oshtemo,99999,Oshtemo charter township,99,,3720,"Kalamazoo-Battle Creek, MI MSA",28020,"Kalamazoo-Portage, MI Metropolitan Statistical Area",99999,,1,0,2606,,Y,,,,690 Dragonfly,,Kalamazoo,MI,49009,1293,,49009,90,4,49009129390,S,,,,1,,,,,90% Overall probable correctness,42.283712,-85.654868,S,,R,U,** Street-Level Rooftop **,26077,2699999,26077002903,260770029032,1.474,Herman & Kittle Properties Inc,Jeff Kittle,General Partner,Herman & Kittle Properties,"500 E. 96th St., suite 300",Indianapolis,IN,46240,317-846-3111,jkittle@hermankittle.com,2048-03-01T00:00:00.000Z,,2015-05-05T00:00:00.000Z,,2015-05-04T00:00:00.000Z,2017-05-30T00:00:00.000Z,2016-12-31T00:00:00.000Z,,,,,,10115000,192,2013-02-27T00:00:00.000Z,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
-85.193549000432981,42.25024399928845,34748,800243680,2605920,Detroit,Grand Rapids,ZENA M FARAH,Teal Run,5235 Horizon Drive,,Y,03,Battle Creek,0,0,,Insured-Unsubsidized,,,,0,,,0,,N,,Y,Insured,Y,N,N,N,N,N,N,04711216,04711216,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04711216,,HRI,,223(f) Refi/ Purchase Apts,,Y,,1,26,Calhoun,025,001800,5,5013,Calhoun,025,05920,Battle Creek,05920,Battle Creek city,C5,,3720,"Kalamazoo-Battle Creek, MI MSA",12980,"Battle Creek, MI Metropolitan Statistical Area",99999,,1,0,2603,0432,Y,,,,5235 Horizon Dr,,Battle Creek,MI,49015,9676,,49015,35,5,49015967635,S,,,,0,,,,,100% Overall probable correctness,42.250244,-85.193549,S,,R,U,** Street-Level Rooftop **,26025,2605920,26025001800,260250018005,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
-83.179894999658984,42.187442999385318,34867,800244877,2674960,Detroit,Detroit,BRENDA BLAIES,VILLAGE GREEN OF SOUTHGATE,16700 Quarry Rd,,Y,12,Southgate,0,488,734-283-4200,Insured-Unsubsidized,00,,,0,,,0,,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,04411423,04411423,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04411423,,HRI,,223(f) Refi/ Purchase Apts,,N,,1,26,Wayne,163,582000,3,3010,Wayne,163,74960,Southgate,74960,Southgate city,C5,,2160,"Detroit, MI PMSA",19820,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",99999,,1,0,2612,5670,Y,,,,16700 Quarry Rd,,Southgate,MI,48195,1443,,48195,00,1,48195144300,S,,,,0,,,,,100% Overall probable correctness,42.187443,-83.179895,S,,R,U,** Street-Level Rooftop **,26163,2674960,26163582000,261635820003,0,VILLAGE GREEN HOLDING LLC,Diane Batayeh,President,30833 Northwestern Hwy,Suite 300,Farmington Hills,MI,48334,248-932-2706,DBATAYEH@VILLAGEGREEN.COM,2052-07-01T00:00:00.000Z,,,,,,,,,,,,19500000,488,2017-06-28T00:00:00.000Z,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
-84.079555999599975,41.903972999231492,34870,800243655,2600440,Detroit,Detroit,HENRY E PLOWDEN,SAND CREEK I,142 Sand Creek Highway,,Y,07,Adrian,0,0,,Insured-Unsubsidized,,,,0,,,0,,N,,Y,Insured,Y,N,N,N,N,N,N,04411405,04411405,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04411405,,HRI,,223(f) Refi/ Purchase Apts,,Y,,1,26,Lenawee,091,061700,1,1008,Lenawee,091,00440,Adrian,00440,Adrian city,C5,,0440,"Ann Arbor, MI PMSA",10300,"Adrian, MI Micropolitan Statistical Area",99999,,0,1,2607,0036,Y,,,,142 Sand Creek Hwy,,Adrian,MI,49221,9128,,49221,42,6,49221912842,S,,,,0,,,,,100% Overall probable correctness,41.903973,-84.079556,S,,R,U,** Street-Level Rooftop **,26091,2600440,26091061700,260910617001,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
-84.079555999599975,41.903972999231492,34871,800243656,2600440,Detroit,Detroit,HENRY E PLOWDEN,SAND CREEK II,142 Sand Creek Highway,,Y,07,Adrian,0,0,,Insured-Unsubsidized,,,,0,,,0,,N,,Y,Insured,Y,N,N,N,N,N,N,04411406,04411406,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04411406,,HRI,,223(f) Refi/ Purchase Apts,,Y,,1,26,Lenawee,091,061700,1,1008,Lenawee,091,00440,Adrian,00440,Adrian city,C5,,0440,"Ann Arbor, MI PMSA",10300,"Adrian, MI Micropolitan Statistical Area",99999,,0,1,2607,0036,Y,,,,142 Sand Creek Hwy,,Adrian,MI,49221,9128,,49221,42,6,49221912842,S,,,,0,,,,,100% Overall probable correctness,41.903973,-84.079556,S,,R,U,** Street-Level Rooftop **,26091,2600440,26091061700,260910617001,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
-86.232226000085461,41.816864998841083,34872,800243681,2602157780,Detroit,Grand Rapids,ZENA M FARAH,Berrien Woods III,1900 E Main Street,,Y,06,,0,0,,Insured-Unsubsidized,,,,0,,,0,,N,,Y,Insured,Y,N,N,N,N,N,N,04711217,04711217,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04711217,,HRI,,223(f) Refi/ Purchase Apts,,Y,,1,26,Berrien,021,021000,2,2006,Berrien,021,57780,Niles,99999,Niles township,99,,0870,"Benton Harbor, MI MSA",35660,"Niles-Benton Harbor, MI Metropolitan Statistical Area",99999,,1,0,2606,,Y,,,,1900 E Main St,,Niles,MI,49120,3835,,49120,00,5,49120383500,S,,,,0,,,,,100% Overall probable correctness,41.816865,-86.232226,S,,R,U,** Street-Level Rooftop **,26021,2699999,26021021000,260210210002,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
-83.620545000395097,42.512443998757668,25185,800231389,2612549820,Detroit,Detroit,BRENDA BLAIES,PENDLETON PARK APARTMENTS,57715 Grand River Avenue,,Y,11,,0,240,248-446-4400,Insured-Unsubsidized,,,,543667,98  c*,80 - Green,0,None,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,04411294,04411294,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,223(a)(7) Refi of 223(f) Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04411294,,REK,,223(a)(7) Refi of 223(f) Apts,,N,,1,26,Oakland,125,138302,2,2022,Oakland,125,49820,Lyon,99999,Lyon charter township,99,,2160,"Detroit, MI PMSA",19820,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",99999,,1,0,2611,,Y,,,,57715 Grand River Ave,,New Hudson,MI,48165,9819,,48165,15,3,48165981915,S,,,,0,,,,,100% Overall probable correctness,42.512444,-83.620545,S,,R,U,** Street-Level Rooftop **,26125,2699999,26125138302,261251383022,2.711,Village Green Management Clearing Company,Matthew Williams,Assistant Vice President,30833 Northwestern Hwy Ste 300,,Farmington Hills,MI,48334,248-932-2758,mwilliams@villagegreen.com,2048-06-01T00:00:00.000Z,,2015-06-19T00:00:00.000Z,,2015-06-18T00:00:00.000Z,2017-02-23T00:00:00.000Z,2016-12-31T00:00:00.000Z,,,,,,11237000,240,2013-05-21T00:00:00.000Z,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017-10-16T14:32:47.000Z,-4,-4
